camp_name,address,category,director,operator,city,state,accredited-member,programs,zip_code,nogeo,latitude,longitude
Talisman Inc.,64 Gap Creek Rd,"Independent, For Profit",Margaret Kelso,Talisman Inc. (Operator),Zirconia,NC,Accredited Member,5.0,28790-8791,"64 Gap Creek Rd, Zirconia, NC, 28790-8791, USA",35.181796,-82.43897299999999
WE Skelton 4-H Educational Conference Center,775 Hermitage Rd,4-H Clubs,Roger Ellmore,State 4-H Office Virginia Tech,Wirtz,VA,Accredited Member,1.0,24184-3685,"775 Hermitage Rd, Wirtz, VA, 24184-3685, USA",37.0359207,-79.7229945
Camp For All,6301 Rehburg Rd,Hospital/Health/Medical,Kurt R. Podeszwa,Camp For All Foundation,Burton,TX,Accredited Member,54.0,77835-5675,"6301 Rehburg Rd, Burton, TX, 77835-5675, USA",30.2377052,-96.5817865
Lutherdale Bible Camp Inc,N7891 US Highway 12,"Lutheran, ELCA",Tracy Polzin,Lutherdale Bible Camp Inc (Operator) (LOM),Elkhorn,WI,Accredited Member,21.0,53121-2465,"N7891 US Highway 12, Elkhorn, WI, 53121-2465, USA",42.7784564,-88.5550913
Sugar Creek Bible Camp,13141 Sugar Creek Bible Camp Rd,"Lutheran, ELCA","Dick Iverson, Executive Director",Sugar Creek Bible Camp (Operator) (LOM),Ferryville,WI,Accredited Member,14.0,13141,"13141 Sugar Creek Bible Camp Rd, Ferryville, WI, 13141, USA",43.3785655,-91.0011778
Carlisle Family YMCA - Camp Thompson and Day Camps,311 S West St,YMCA,Justin Rose,Carlisle Family YMCA,Carlisle,PA,Accredited Member,1.0,17013-3854,"311 S West St, Carlisle, PA, 17013-3854, USA",40.1961034,-77.19410309999999
The Phoenix Ranch Day Camp,4974 Cochran St,"Independent, For Profit",Nicole Lee,"ES CAL II, LLC, DBA Phoenix Ranch School & Camp",Simi Valley,CA,Accredited Member,1.0,93063-3074,"4974 Cochran St, Simi Valley, CA, 93063-3074, USA",34.2776745,-118.6962823
SpringHill Camps - Indiana,2221 W State Road 258,Nondenominational Christian,,SpringHill Camp (Operator),Seymour,IN,Accredited Member,13.0,47274-7548,"2221 W State Road 258, Seymour, IN, 47274-7548, USA",38.97942,-86.084065
SpringHill Camps - Michigan,7717 95th Ave,Nondenominational Christian,Jeff Thorn,SpringHill Camp (Operator),Evart,MI,Accredited Member,18.0,49631-7424,"7717 95th Ave, Evart, MI, 49631-7424, USA",43.9280335,-85.2819683
Charis Hills,498 Faulkner Rd,Nondenominational Christian,Molly Southard,Charis Hills (Operator),Sunset,TX,Accredited Member,1.0,76270-6683,"498 Faulkner Rd, Sunset, TX, 76270-6683, USA",33.4521705,-97.6778746
The Road Less Traveled,,"Independent, For Profit",Laura Dunmire,Polaris,Chicago,IL,Accredited Member,24.0,,"nan, Chicago, IL, nan, USA",41.8781136,-87.6297982
YMCA Camp Benson,16355 Scenic Palisades Rd,YMCA,Gwyn Bemis,YMCA Camp Benson (Operator),Mount Carroll,IL,Accredited Member,4.0,16355,"16355 Scenic Palisades Rd, Mount Carroll, IL, 16355, USA",42.094786,-90.00037189999999
Camp Kawaga,10000 Kawaga Rd,"Independent, For Profit",Ty & Lauren Simpson,Camp Kawaga (Operator),Minocqua,WI,Accredited Member,1.0,10000,"10000 Kawaga Rd, Minocqua, WI, 10000, USA",45.8590657,-89.7358309
Camp Hanover,3163 Parsleys Mill Rd,Presbyterian,Doug Walters,Camp Hanover (Campfire Collective),Mechanicsville,VA,Accredited Member,28.0,23111-6255,"3163 Parsleys Mill Rd, Mechanicsville, VA, 23111-6255, USA",37.6066252,-77.20723910000001
Camp Robbinswold,N 39580 Hwy 101,Girl Scouts of the USA,,Girl Scouts - Western Washington,Lilliwaup,WA,Accredited Member,20.0,39580,"N 39580 Hwy 101, Lilliwaup, WA, 39580, USA",47.5855593,-123.003136
Tik-A-Witha,365 County Road 117,Girl Scouts of the USA,Myra Collins,Girl Scouts - Heart of the South,Van Vleet,MS,Accredited Member,6.0,38877,"365 County Road 117, Van Vleet, MS, 38877, USA",33.9719926,-88.9197306
Sound View Camp,8515 Key Peninsula Hwy SW,Presbyterian,Kurt Sample,Sound View Camp & Retreat Ctr (Campfire Collective),Longbranch,WA,Accredited Member,4.0,98351-9661,"8515 Key Peninsula Hwy SW, Longbranch, WA, 98351-9661, USA",47.1792966,-122.7570571
Camp Chewonki,485 Chewonki Neck Rd,"Independent, Not for Profit",Katie Goodman,Camp Chewonki (Operator),Wiscasset,ME,Accredited Member,3.0,04578-4822,"485 Chewonki Neck Rd, Wiscasset, ME, 04578-4822, USA",43.95241499999999,-69.7118349
Camp Carson YMCA,2034 Outer Lake Rd,YMCA,Jim Sexstone,YMCA of Southwestern Indiana,Princeton,IN,Accredited Member,6.0,47670-8887,"2034 Outer Lake Rd, Princeton, IN, 47670-8887, USA",38.359809,-87.526895
Camp Conquest,480 Forest Rd,Nondenominational Christian,Mike Gehlert,Camp Conquest (Operator),Denver,PA,Accredited Member,4.0,17517-9482,"480 Forest Rd, Denver, PA, 17517-9482, USA",40.2956185,-76.1847361
Camp Conquest,"480 Forest RdDenver, PA",Nondenominational Christian,Mike Gehlert,Camp Conquest (Operator),Memphis,TN,,1.0,17517-9482,"480 Forest RdDenver, PA, Memphis, TN, 17517-9482, USA",35.1495343,-90.0489801
Camp Fitch YMCA,12600 Abels Rd,YMCA,Tom Parker,"YMCA of Youngstown, OH",North Springfield,PA,Accredited Member,7.0,12600,"12600 Abels Rd, North Springfield, PA, 12600, USA",42.004549,-80.43130699999999
Camp Puh Tok,17433 Big Falls Rd,"Independent, Not for Profit",Alexi Kousouris Grote,Camp Puh'Tok for Boys and Girls Inc,Monkton,MD,Accredited Member,4.0,17433,"17433 Big Falls Rd, Monkton, MD, 17433, USA",39.5978786,-76.6386375
Camp Zanika Lache,16400 Cedar Brae Rd,Camp Fire,Theresa Samuelsen,Camp Fire North Central Washington Council,Leavenworth,WA,Accredited Member,7.0,16400,"16400 Cedar Brae Rd, Leavenworth, WA, 16400, USA",47.8099142,-120.7635989
Dorothy P Flint 4-H Camp,3186 Sound Ave,4-H Clubs,Brian Morris,New York State 4-H - NYNJ Camps,Riverhead,NY,Accredited Member,2.0,11901,"3186 Sound Ave, Riverhead, NY, 11901, USA",40.9657138,-72.7156505
Flying Horse Farms,5260 State Route 95,"Independent, Not for Profit",Dani Wilkinson,Flying Horse Farms (Operator),Mount Gilead,OH,Accredited Member,3.0,43338-9763,"5260 State Route 95, Mount Gilead, OH, 43338-9763, USA",40.5316863,-82.7648766
Girl Scout Camp Tanglefoot,14948 Dogwood Ave,Girl Scouts of the USA,Julia Mannes,Girl Scouts - Greater Iowa,Clear Lake,IA,Accredited Member,29.0,14948,"14948 Dogwood Ave, Clear Lake, IA, 14948, USA",43.1110417,-93.4388555
Twin Rocks Friends Camp,18705 Highway 101 N,Quaker,Ken Beebe,Northwest Yearly Meeting of Friends Churches,Rockaway Beach,OR,Accredited Member,4.0,18705,"18705 Highway 101 N, Rockaway Beach, OR, 18705, USA",45.591701,-123.941046
Camp Blue Bay,103 Flaggy Hole Rd,Girl Scouts of the USA,Aisling Green & Kirsi Moseman,Girl Scouts - Nassau County,East Hampton,NY,Accredited Member,1.0,11937-1329,"103 Flaggy Hole Rd, East Hampton, NY, 11937-1329, USA",41.0364235,-72.1762778
Alpengirl Girls Summer Camp,,"Independent, For Profit",Gabby McElwain,Alpengirl,Bozeman,MT,Accredited Member,15.0,,"nan, Bozeman, MT, nan, USA",45.67931189999999,-111.037259
Camp Arrowhead,35268 Homestead Way,Episcopal,Teri Valente,Episcopal Diocese of Delaware (ECCC),Lewes,DE,Accredited Member,4.0,35268,"35268 Homestead Way, Lewes, DE, 35268, USA",38.6545622,-75.1351532
Camp Arrowhead,35268 Homestead Way,Episcopal,Teri Valente,Episcopal Diocese of Delaware (ECCC),Lewes,DE,,3.0,35268,"35268 Homestead Way, Lewes, DE, 35268, USA",38.6545622,-75.1351532
Camp Arrowhead,"35268 Homestead WayLewes, DE",Episcopal,Teri Valente,Episcopal Diocese of Delaware (ECCC),Zirconia,NC,,1.0,35268,"35268 Homestead WayLewes, DE, Zirconia, NC, 35268, USA",38.6545622,-75.1351532
YMCA Camp Surf,560 Silver Strand Blvd,YMCA,Brett Tillman,YMCA of San Diego County,Imperial Beach,CA,Accredited Member,1.0,91932-1028,"560 Silver Strand Blvd, Imperial Beach, CA, 91932-1028, USA",32.596041,-117.128441
YMCA Camp Minikani,875 Amy Belle Road,YMCA,Jon F. McLaren,YMCA of Metropolitan Milwaukee,Hubertus,WI,Accredited Member,8.0,53033-9660,"875 Amy Belle Road, Hubertus, WI, 53033-9660, USA",43.2196574,-88.18430959999999
Camp Conowingo,46 Shadow Brook Rd,Girl Scouts of the USA,Dale 'Alpha' Bond,Girl Scouts of Central Maryland,Conowingo,MD,Accredited Member,47.0,21918-1001,"46 Shadow Brook Rd, Conowingo, MD, 21918-1001, USA",39.7002748,-76.191981
Camp Cole,1571 Crossing Creek Rd,"Independent, Not for Profit",Kelsey Carter,Camp Cole (Operator),Eastover,SC,Accredited Member,7.0,29044-9309,"1571 Crossing Creek Rd, Eastover, SC, 29044-9309, USA",33.9381737,-80.8173288
Camp Nawakwa,,"Independent, Not for Profit",Sami Durham,"Outdoor Journeys, Inc.",Angelus Oaks,CA,Accredited Member,2.0,,"nan, Angelus Oaks, CA, nan, USA",34.1458435,-116.9825321
Camp Tuckaho,,Girl Scouts of the USA,,Girl Scouts - Eastern Missouri,Troy,MO,Accredited Member,9.0,,"nan, Troy, MO, nan, USA",38.9794922,-90.9806954
Lantern Light Camps,292 Blakes Hill Rd,"Independent, Not for Profit",Dennis Livoli,Lantern Light Camps (Operator),Northwood,NH,Accredited Member,2.0,03261-3941,"292 Blakes Hill Rd, Northwood, NH, 03261-3941, USA",43.208685,-71.2303419
Cheerio on the New River,754 Fox Knob Rd,YMCA,Mark Woodall,YMCA of Greater High Point,Mouth Of Wilson,VA,Accredited Member,6.0,24363-3245,"754 Fox Knob Rd, Mouth Of Wilson, VA, 24363-3245, USA",36.5878387,-81.28078459999999
Ross Point Camp and Conference Center,820 S Ross Point Rd,"Baptist, American",John Batchelder,Ross Point Camp and Conference Ctr (Campfire Collective),Post Falls,ID,Accredited Member,6.0,83854-5390,"820 S Ross Point Rd, Post Falls, ID, 83854-5390, USA",47.6971745,-116.894143
Camp Wartburg,5705 Lrc Rd,"Lutheran, Missouri Synod",Robert A. Polansky,Camp Wartburg (Operator),Waterloo,IL,Accredited Member,24.0,62298-6555,"5705 Lrc Rd, Waterloo, IL, 62298-6555, USA",38.2837904,-90.1888084
Camp Togowoods,Knik Goose Bay RoadWasilla,Girl Scouts of the USA,Amanda Block,Girl Scouts - Alaska,Anchorage,AK,Accredited Member,10.0,99654,"Knik Goose Bay RoadWasilla, Anchorage, AK, 99654, USA",61.5598754,-149.4777719
Cavett Kids Retreats,,Hospital/Health/Medical,,Cavett Kids Foundation,Guthrie,OK,Accredited Member,2.0,,"nan, Guthrie, OK, nan, USA",35.878937,-97.42531849999999
NaCoMe Camp & Retreat Center,3232 Sulphur Creek Rd,Presbyterian,Ryan Moore,NaCoMe Camp & Retreat Center (Operator) (Campfire Collective),Pleasantville,TN,Accredited Member,5.0,37033-1784,"3232 Sulphur Creek Rd, Pleasantville, TN, 37033-1784, USA",35.680392,-87.603481
Camp Little Notch,744 Sly Pond Rd,"Independent, Not for Profit",Heidi Kelly,Friends of Camp Little Notch,Fort Ann,NY,Accredited Member,5.0,12827-3314,"744 Sly Pond Rd, Fort Ann, NY, 12827-3314, USA",43.4868057,-73.5521037
YMCA Camp Dudley,14830 Tieton Rd,YMCA,Matt Rusch,Yakima Family YMCA,Naches,WA,Accredited Member,1.0,14830,"14830 Tieton Rd, Naches, WA, 14830, USA",46.627129,-121.291227
YMCA Camp Lakewood,13528 State Highway AA,YMCA,Erin Sullivan,YMCA of the Ozarks,Potosi,MO,Accredited Member,13.0,13528,"13528 State Highway AA, Potosi, MO, 13528, USA",37.946741,-90.9282599
Camp Ho Mita Koda,14040 Auburn Rd,"Independent, Not for Profit",Ian Roberts,Camp Ho Mita Koda Foundation,Newbury,OH,Accredited Member,2.0,14040,"14040 Auburn Rd, Newbury, OH, 14040, USA",41.4859618,-81.2451931
Schoepe Scout Reservation @ Lost Valley,31422 Chihuahua Valley Rd,Boy Scouts of America,Tony Antonini,Orange County Council BSA,Warner Springs,CA,Accredited Member,1.0,31422,"31422 Chihuahua Valley Rd, Warner Springs, CA, 31422, USA",33.3857768,-116.667936
Camp Conrad-Chinnock,,Diabetes Education & Camping Association,"Rocky Wilson, Ph.D.",Diabetes Camping and Educational Services,Angelus Oaks,CA,Accredited Member,1.0,,"nan, Angelus Oaks, CA, nan, USA",34.1458435,-116.9825321
Chapel Rock Camp and Conference Center,1131 Country Club Dr,Episcopal,Kelly Wood,Chapel Rock  (ECCC),Prescott,AZ,Accredited Member,7.0,86303-3445,"1131 Country Club Dr, Prescott, AZ, 86303-3445, USA",34.53343,-112.4939932
Kirchenwald,1 Cut Off Road,"Lutheran, ELCA",Zach Weiss,Lutheran Camping Corp of Central Penn (LOM),Lebanon,PA,Accredited Member,29.0,17042,"1 Cut Off Road, Lebanon, PA, 17042, USA",40.2469056,-76.5187177
Rising Treetops at Oakhurst,111 Monmouth Rd,"Independent, Not for Profit",Charles Sutherland,Rising Treetops at Oakhurst (Operator),Oakhurst,NJ,Accredited Member,1.0,07755-1514,"111 Monmouth Rd, Oakhurst, NJ, 07755-1514, USA",40.265164,-74.0131081
Bothin,3125 Sir Francis Drake Blvd,Girl Scouts of the USA,,Girl Scouts - Northern California,Fairfax,CA,Accredited Member,22.0,94930-1353,"3125 Sir Francis Drake Blvd, Fairfax, CA, 94930-1353, USA",38.0038025,-122.6171459
Camp Foster YMCA,1769 260th Ave,YMCA,Josh Carr,Camp Foster YMCA Inc,Spirit Lake,IA,Accredited Member,1.0,51360-7300,"1769 260th Ave, Spirit Lake, IA, 51360-7300, USA",43.389196,-95.0795399
Camp Sugar Pine,Arnold,Girl Scouts of the USA,Morgan Graham,Girl Scouts - Northern California,Camp Connell,CA,Accredited Member,24.0,,"Arnold, Camp Connell, CA, nan, USA",38.3093607,-120.2782502
Camp Takodah,55 Fitzwilliam Rd,YMCA,Ryan Reed,Takodah YMCA,Richmond,NH,Accredited Member,3.0,03470-4316,"55 Fitzwilliam Rd, Richmond, NH, 03470-4316, USA",42.7502873,-72.26524669999999
Lutherlyn,500 Lutherlyn LaneButler,"Lutheran, ELCA",Deb Roberts,Lutherlyn (Operator) (LOM),Prospect,PA,Accredited Member,10.0,16001,"500 Lutherlyn LaneButler, Prospect, PA, 16001, USA",40.8854646,-80.0159345
URJ Henry S Jacobs Camp,3863 Morrison Rd,"Jewish, Reform","Jonathan ""J.C."" Cohen",URJ Henry S Jacobs Camp (Operator),Utica,MS,Accredited Member,6.0,39175-9008,"3863 Morrison Rd, Utica, MS, 39175-9008, USA",32.0963342,-90.5659762
YMCA Camp Manitou-Lin,1095 N Briggs Rd,YMCA,,The YMCA of Greater Grand Rapids (Operator),Middleville,MI,Accredited Member,8.0,49333-9700,"1095 N Briggs Rd, Middleville, MI, 49333-9700, USA",42.6699868,-85.5147233
4-H Camp Bristol Hills,4437 Kear Rd,4-H Clubs,Jim Hooper,New York State 4-H - NYNJ Camps,Canandaigua,NY,Accredited Member,10.0,14424-8930,"4437 Kear Rd, Canandaigua, NY, 14424-8930, USA",42.81004,-77.376846
Camp Bernadette,83 Richards Rd,Roman Catholic,Cathi Patterson,Camps Bernadette and Fatima Inc,Wolfeboro,NH,Accredited Member,2.0,03894-4906,"83 Richards Rd, Wolfeboro, NH, 03894-4906, USA",43.5839036,-71.17337959999999
Camp Hertko Hollow,1192 166th Dr,"Independent, Not for Profit",Ashley Wunderlich,Camp Hertko Hollow Inc,Boone,IA,Accredited Member,1.0,50036-7387,"1192 166th Dr, Boone, IA, 50036-7387, USA",42.1229093,-93.9343552
Camp Southern Ground,100 Southern Ground Parkway,"Independent, Not for Profit","Matthew ""Matty"" Cook","Camp Southern Ground, Inc",Fayetteville,GA,Accredited Member,1.0,30215,"100 Southern Ground Parkway, Fayetteville, GA, 30215, USA",33.4065021,-84.5104411
Camp Tecumseh,975 Moultonboro Neck Rd,"Independent, Not for Profit",Doug Knight,Camp Tecumseh (Operator),Moultonborough,NH,Accredited Member,1.0,03254-4751,"975 Moultonboro Neck Rd, Moultonborough, NH, 03254-4751, USA",43.6822971,-71.3643743
Camp Tecumseh,"975 Moultonboro Neck RdMoultonborough, NH","Independent, Not for Profit",Doug Knight,Camp Tecumseh (Operator),Pittstown,NJ,Accredited Member,1.0,03254-4751,"975 Moultonboro Neck RdMoultonborough, NH, Pittstown, NJ, 03254-4751, USA",43.6822971,-71.3643743
Mount Luther,355 Mount Luther Ln,"Lutheran, ELCA",Chad Hershberger,Camp Mount Luther Corporation (LOM),Mifflinburg,PA,Accredited Member,10.0,17844-7914,"355 Mount Luther Ln, Mifflinburg, PA, 17844-7914, USA",40.937943,-77.1417759
Camp Odayin Minnesota,"Oakdale, MN",Hospital/Health/Medical,Brooke Hohag,Camp Odayin (Operator),,,Accredited Member,2.0,,"Oakdale, MN, nan, nan, nan, USA",44.9630216,-92.9649361
Chimney Corners Camp YMCA,748 Hamilton Rd,YMCA,Shannon Donovan-Monti,Becket Chimney Corners YMCA,Becket,MA,Accredited Member,4.0,01223-9686,"748 Hamilton Rd, Becket, MA, 01223-9686, USA",42.2836739,-73.0703433
Keyauwee Program Center,2574 Sweetbriar Rd,Girl Scouts of the USA,,Girl Scouts - Carolinas Peaks to Piedmont,Sophia,NC,Accredited Member,25.0,27350-8924,"2574 Sweetbriar Rd, Sophia, NC, 27350-8924, USA",35.79924949999999,-79.94253049999999
Lake Cumberland 4-H Camp,17575 Highway 196,4-H Clubs,"Christina Bradley, Adam Lybarger",Kentucky 4-H Camps,Nancy,KY,Accredited Member,2.0,17575,"17575 Highway 196, Nancy, KY, 17575, USA",36.92124210000001,-84.8697959
YMCA Camp Campbell Gard,4803 Augspurger Rd,YMCA,Dom Coffey,Great Miami Valley YMCA,Hamilton,OH,Accredited Member,8.0,45011-9547,"4803 Augspurger Rd, Hamilton, OH, 45011-9547, USA",39.4249524,-84.4951078
Camp Balcones Springs,104 Balcones Springs Dr,"Independent, For Profit",,Camp Balcones Springs (Operator),Marble Falls,TX,Accredited Member,2.0,78654-3399,"104 Balcones Springs Dr, Marble Falls, TX, 78654-3399, USA",30.5570976,-98.1172694
Camp Bette Perot,,Girl Scouts of the USA,,Girl Scouts - Northeast Texas,Palestine,TX,Accredited Member,3.0,,"nan, Palestine, TX, nan, USA",31.7621153,-95.6307891
Camp Havaya,108 Rabbi Jeff Way,"Independent, Not for Profit",Rabbi Isaac Saposnik,Camp Havaya (Operator),South Sterling,PA,Accredited Member,2.0,18460-7700,"108 Rabbi Jeff Way, South Sterling, PA, 18460-7700, USA",41.2673578,-75.3367136
Camp Mary Atkinson,,Girl Scouts of the USA,Sheryl McGlory,Girl Scouts - North Carolina Coastal Pines,Selma,NC,Accredited Member,1.0,,"nan, Selma, NC, nan, USA",35.53654849999999,-78.2844435
Camp Omega,22750 Lind Ave,"Lutheran, Missouri Synod",Bob LaCroix,Camp Omega Inc,Waterville,MN,Accredited Member,11.0,22750,"22750 Lind Ave, Waterville, MN, 22750, USA",44.2551217,-93.52164529999999
Camp Ondessonk,3760 Ondessonk Rd,"Independent, Not for Profit",Dan King,Camp Ondessonk (Operator),Ozark,IL,Accredited Member,11.0,62972-1257,"3760 Ondessonk Rd, Ozark, IL, 62972-1257, USA",37.5373293,-88.7369058
Hidden Lake Camp,1799 State Route 9N,Girl Scouts of the USA,,Girl Scouts - Northeastern NY,Lake George,NY,Accredited Member,1.0,12845-5901,"1799 State Route 9N, Lake George, NY, 12845-5901, USA",43.3823064,-73.7567115
Lake Clear Camp,6883 State Rt 30,Girl Scouts of the USA,Annette German,Girl Scouts - Northeastern NY,Lake Clear,NY,Accredited Member,1.0,12945,"6883 State Rt 30, Lake Clear, NY, 12945, USA",44.3884459,-74.2542516
Bar 717 Ranch/Camp Trinity,17197 Hyampom RdHyampom,,,The Bar 717 Ranch Inc,Hayfork,CA,Accredited Member,2.0,17197,"17197 Hyampom RdHyampom, Hayfork, CA, 17197, USA",40.6210294,-123.3761004
Amplify Sleep Away Camp,8585  Santa Paula Rd,"Independent, Not for Profit",Jen Baron,Amplify Sleep Away Camp (Operator),Ojai,CA,Accredited Member,2.0,93023-9351,"8585  Santa Paula Rd, Ojai, CA, 93023-9351, USA",34.3026339,-119.1347202
Camp Ehawee,,Girl Scouts of the USA,Bonnie Griswold,Girl Scouts - Wisconsin - Badgerland,Mindoro,WI,Accredited Member,16.0,,"nan, Mindoro, WI, nan, USA",44.0210739,-91.10180629999999
Camp Gilmont,6075 State Highway 155 N,Presbyterian,Kenny and Jennifer Rigoulot,Presbyterian Camps at Gilmont (Campfire Collective),Gilmer,TX,Accredited Member,1.0,75644-6207,"6075 State Highway 155 N, Gilmer, TX, 75644-6207, USA",32.8011799,-94.8829773
Camp Millhouse,25600 Kelly Rd,"Independent, Not for Profit","Melissa Swank, BSN, RN",Camp Millhouse Inc,South Bend,IN,Accredited Member,1.0,25600,"25600 Kelly Rd, South Bend, IN, 25600, USA",41.603036,-86.3623863
Camp Wood Haven,103 Camp Rd,,,Girl Scouts - Eastern Pennsylvania,Pine Grove,PA,Accredited Member,52.0,17963-9295,"103 Camp Rd, Pine Grove, PA, 17963-9295, USA",40.5371783,-76.3526609
Maripai,201 E Marapai Rd,Girl Scouts of the USA,Annie Warner,Girl Scouts - Arizona Cactus-Pine,Prescott,AZ,Accredited Member,35.0,86303-8316,"201 E Marapai Rd, Prescott, AZ, 86303-8316, USA",34.4751688,-112.4600673
River Valley Ranch,4443 Grave Run Rd,Nondenominational Christian,,Peter and John Radio Fellowship,Manchester,MD,Accredited Member,5.0,21102-3001,"4443 Grave Run Rd, Manchester, MD, 21102-3001, USA",39.6977853,-76.8056573
Camp Kupugani,6903 W White Eagle Rd,"Independent, For Profit",Kevin Gordon,"Camp Kupugani, Inc.",Leaf River,IL,Accredited Member,3.0,61047-9732,"6903 W White Eagle Rd, Leaf River, IL, 61047-9732, USA",42.1472022,-89.4694621
Camp Middlesex,1031 Erickson Rd,4-H Clubs,Steve LaFountain,Middlesex Cty Foundation Inc,Ashby,MA,Accredited Member,1.0,01431-2063,"1031 Erickson Rd, Ashby, MA, 01431-2063, USA",42.665468,-71.81921799999999
Camp Willow Run,190 Mangum Ln,"Independent, Not for Profit",Linda Harris,Youth Camps For Christ Inc,Littleton,NC,Accredited Member,2.0,27850-8147,"190 Mangum Ln, Littleton, NC, 27850-8147, USA",36.4929183,-77.9148932
Camp Lohikan in the Pocono Mountains,343 Wallerville Rd,"Independent, For Profit",Mark Buynak,Camp Lohikan,Lake Como,PA,Accredited Member,2.0,18437-1022,"343 Wallerville Rd, Lake Como, PA, 18437-1022, USA",41.847365,-75.30080699999999
Camp Tekakwitha Retreat and Conference Center,W5248 Lake Dr,Roman Catholic,McKenna Runde,Camp Tekakwitha Retreat and Conference Center (Operator),Shawano,WI,Accredited Member,1.0,54166-1519,"W5248 Lake Dr, Shawano, WI, 54166-1519, USA",44.8256646,-88.50669769999999
Wildwood Ranch,4909 Brophy Rd,Nondenominational Christian,David Long,Detroit Rescue Mission Ministries,Howell,MI,Accredited Member,3.0,48855-9747,"4909 Brophy Rd, Howell, MI, 48855-9747, USA",42.64496,-83.85705399999999
Shetek Lutheran Ministries,14 Keeley Island Dr,"Lutheran, ELCA",Marv Nysetvold,Shetek Lutheran Ministries (Operator) (LOM),Slayton,MN,Accredited Member,10.0,56172-1923,"14 Keeley Island Dr, Slayton, MN, 56172-1923, USA",44.1071912,-95.70817369999999
YMCA Camp Nissokone,6836 F41,YMCA,Ryan Mertz,YMCA Camping Services of Detroit,Oscoda,MI,Accredited Member,6.0,48750,"6836 F41, Oscoda, MI, 48750, USA",44.4778119,-83.3934838
YMCA Camp Collins,3001 SE Oxbow Pkwy,YMCA,Willard Burks,YMCA of Columbia Willamette,Gresham,OR,Accredited Member,7.0,97080-8916,"3001 SE Oxbow Pkwy, Gresham, OR, 97080-8916, USA",45.5016267,-122.3070127
